epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.11280377209186554,2.6629769802093506,1e-04,0.16973811388015747,7.859594821929932
1,0.12380606681108475,2.295442819595337,1e-04,0.15761396288871765,2.222242832183838
2,0.1259823441505432,2.2844533920288086,1e-04,0.1755577176809311,2.237743616104126
3,0.15379035472869873,2.2696828842163086,1e-04,0.18234723806381226,2.235030174255371
4,0.15645024180412292,2.27067494392395,1e-04,0.1741028130054474,2.239664316177368
5,0.1552412062883377,2.270871162414551,1e-04,0.2361784726381302,2.1402013301849365
6,0.1604400873184204,2.271790027618408,1e-04,0.21193017065525055,2.1581499576568604
7,0.14460161328315735,2.2631781101226807,1e-04,0.12851600348949432,2.222728729248047
0,0.1398565024137497,2.506457567214966,1e-04,0.12343619763851166,18.51644515991211
1,0.17354685068130493,2.220581531524658,1e-04,0.255212664604187,2.093050003051758
2,0.1921597123146057,2.1669838428497314,1e-04,0.27272728085517883,2.0722193717956543
3,0.2217947393655777,2.1295807361602783,1e-04,0.29816514253616333,1.9928324222564697
4,0.2510138154029846,2.078547716140747,1e-04,0.3331943154335022,1.8932585716247559
5,0.27596962451934814,2.02811598777771,1e-04,0.34403669834136963,1.9299768209457397
6,0.3052927255630493,1.9668433666229248,1e-04,0.41743120551109314,1.7577121257781982
7,0.36050742864608765,1.9026528596878052,1e-04,0.5050041675567627,1.7198442220687866
8,0.43329522013664246,1.80153489112854,1e-04,0.5758965611457825,1.6186505556106567
9,0.45222002267837524,1.7562123537063599,1e-04,0.5721434354782104,1.6200010776519775
10,0.47821566462516785,1.6624830961227417,1e-04,0.6401167511940002,1.4931145906448364
11,0.49901217222213745,1.5926798582077026,1e-04,0.6989157795906067,1.4180502891540527
12,0.5220962762832642,1.5266203880310059,1e-04,0.7001668214797974,1.3808057308197021
13,0.5555786490440369,1.46547532081604,1e-04,0.7168473601341248,1.3561683893203735
14,0.5904127955436707,1.4049396514892578,1e-04,0.7189324498176575,1.3259044885635376
15,0.6216075420379639,1.3493338823318481,1e-04,0.741034209728241,1.2514657974243164
16,0.6415722370147705,1.3091297149658203,1e-04,0.744787335395813,1.260817289352417
17,0.6563377380371094,1.2745816707611084,1e-04,0.7760633826255798,1.185441255569458
18,0.6793178915977478,1.2244123220443726,1e-04,0.762718915939331,1.187908411026001
19,0.6969949007034302,1.19480299949646,1e-04,0.7739782929420471,1.1724730730056763
20,0.727253794670105,1.1482290029525757,1e-04,0.7685571312904358,1.1772854328155518
21,0.7477383613586426,1.104944109916687,5e-05,0.8094245195388794,1.0805939435958862
22,0.76427161693573,1.0707427263259888,5e-05,0.8094245195388794,1.0779640674591064
23,0.775813639163971,1.0455960035324097,5e-05,0.8123435974121094,1.0517770051956177
24,0.7784132361412048,1.04252290725708,5e-05,0.8256880640983582,1.0494312047958374
25,0.7897472977638245,1.0245709419250488,5e-05,0.8135946393013,1.0749024152755737
26,0.802537202835083,1.0018490552902222,5e-05,0.8248540163040161,1.0386860370635986
27,0.8074243664741516,0.9919719099998474,5e-05,0.8348624110221863,1.0345598459243774
28,0.8142871856689453,0.9737429618835449,5e-05,0.8277731537818909,1.0394723415374756
29,0.8219819068908691,0.9660295844078064,5e-05,0.8294411897659302,1.0436370372772217
30,0.8321722149848938,0.9502103328704834,5e-05,0.8344453573226929,1.0337224006652832
31,0.8505771160125732,0.9257192015647888,2.5e-05,0.8419516086578369,1.0109676122665405
32,0.8514089584350586,0.9175429940223694,2.5e-05,0.8423686623573303,1.003099799156189
33,0.8576478958129883,0.9081894159317017,2.5e-05,0.849457859992981,1.0091358423233032
34,0.8570240139961243,0.9081351161003113,2.5e-05,0.8461217880249023,0.9959118962287903
35,0.8520328402519226,0.9117333292961121,2.5e-05,0.8469557762145996,1.0049856901168823
36,0.8648226857185364,0.896647572517395,2.5e-05,0.8402835726737976,1.0164930820465088
37,0.864614725112915,0.8937747478485107,1.25e-05,0.8469557762145996,1.0070174932479858
38,0.8752209544181824,0.8793745040893555,1.25e-05,0.8469557762145996,1.0059186220169067
39,0.8774045705795288,0.8820688724517822,1.25e-05,0.849457859992981,1.0027250051498413
40,0.8761568069458008,0.8743245005607605,6.25e-06,0.8477898240089417,0.9996084570884705
41,0.8815639019012451,0.8684642314910889,6.25e-06,0.850291907787323,0.9961825013160706
42,0.8799001574516296,0.8642237186431885,6.25e-06,0.8498749136924744,1.003309726715088
43,0.8764687776565552,0.8755244612693787,3.125e-06,0.847372829914093,0.9974579811096191
44,0.8787563443183899,0.8680623173713684,3.125e-06,0.8498749136924744,0.9979268312454224
45,0.8764687776565552,0.8761533498764038,3.125e-06,0.849457859992981,1.0011452436447144
46,0.8792762756347656,0.8707941174507141,1.5625e-06,0.850291907787323,0.9985059499740601
47,0.8826037049293518,0.8652843236923218,1.5625e-06,0.8515429496765137,0.9996582269668579
48,0.8831236362457275,0.8606378436088562,1.5625e-06,0.849457859992981,0.9985496401786804
49,0.8832276463508606,0.8631876111030579,1.5625e-06,0.8498749136924744,0.9989686608314514
50,0.8815639019012451,0.864122748374939,1.5625e-06,0.850291907787323,0.9981091022491455
51,0.8829156756401062,0.8624117374420166,1e-06,0.850291907787323,0.9976993799209595
52,0.8842674493789673,0.8632102608680725,1e-06,0.8498749136924744,0.9979567527770996
53,0.8785483837127686,0.8654727935791016,1e-06,0.8486238718032837,0.998113751411438
54,0.8793802857398987,0.8657879829406738,1e-06,0.8486238718032837,0.9990394115447998
55,0.8821877837181091,0.8641992211341858,1e-06,0.850291907787323,0.9977071285247803
56,0.8880107998847961,0.8557934165000916,1e-06,0.8515429496765137,0.9954533576965332
57,0.8823957443237305,0.8632228374481201,1e-06,0.851125955581665,0.9966638684272766
58,0.8909223079681396,0.8524859547615051,1e-06,0.850291907787323,0.9945818781852722
59,0.8848913311958313,0.8554660081863403,1e-06,0.8507089018821716,0.9974923133850098
60,0.885411262512207,0.8548784852027893,1e-06,0.851125955581665,0.9973167777061462
61,0.885411262512207,0.8572733998298645,1e-06,0.8507089018821716,0.995488166809082
62,0.8817718625068665,0.8605212569236755,1e-06,0.850291907787323,0.9969121813774109
63,0.8823957443237305,0.863706111907959,1e-06,0.849457859992981,0.9981390237808228
64,0.8868669867515564,0.8550039529800415,1e-06,0.8486238718032837,0.9984478950500488
65,0.8841634392738342,0.8633859157562256,1e-06,0.849457859992981,0.997226893901825
66,0.8869709968566895,0.8518015742301941,1e-06,0.849457859992981,0.9964618682861328
67,0.8878028392791748,0.8537455201148987,1e-06,0.8490408658981323,0.9977614283561707
68,0.8805240988731384,0.8655088543891907,1e-06,0.849457859992981,0.9986556172370911
69,0.8862431049346924,0.8547564148902893,1e-06,0.850291907787323,0.9941886067390442
70,0.8782364726066589,0.8637493848800659,1e-06,0.8477898240089417,0.9949086904525757
71,0.8885307312011719,0.8504332900047302,1e-06,0.849457859992981,0.9964859485626221
72,0.8815639019012451,0.8613803386688232,1e-06,0.849457859992981,0.9954668283462524
73,0.8829156756401062,0.8551961779594421,1e-06,0.8498749136924744,0.9946150779724121
74,0.8899864554405212,0.8550076484680176,1e-06,0.8486238718032837,0.99447101354599
