epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.12308064103126526,2.616776466369629,0.0003,0.1522793471813202,2.396022319793701
1,0.15088865160942078,2.400792360305786,0.0003,0.1818622648715973,2.2619380950927734
2,0.1669689267873764,2.3093206882476807,0.0003,0.23860329389572144,2.146444320678711
3,0.23443356156349182,2.2172842025756836,0.0003,0.2798254191875458,2.0956873893737793
4,0.26332971453666687,2.1530861854553223,0.0003,0.32201746106147766,1.9556703567504883
5,0.28352072834968567,2.0842912197113037,0.0003,0.30795344710350037,1.967932939529419
6,0.32656270265579224,2.00445556640625,0.0003,0.32395732402801514,1.9073206186294556
7,0.34518197178840637,1.9466410875320435,0.0003,0.41222113370895386,1.8166080713272095
0,0.3774634301662445,1.867423415184021,0.0003,0.4204655587673187,1.7730962038040161
1,0.4022488296031952,1.827156662940979,0.0003,0.4704170823097229,1.686360478401184
2,0.42655059695243835,1.7836140394210815,0.0003,0.4534432590007782,1.6760221719741821
3,0.43561843037605286,1.7401560544967651,0.0003,0.5043646693229675,1.6161870956420898
4,0.4435981214046478,1.7440476417541504,0.0003,0.47138699889183044,1.7018446922302246
5,0.44154274463653564,1.7221570014953613,0.0003,0.5261881947517395,1.5254970788955688
6,0.5022367238998413,1.610305905342102,0.0003,0.5795344114303589,1.4440165758132935
7,0.5218232274055481,1.5633821487426758,0.0003,0.571774959564209,1.4592137336730957
8,0.5514448285102844,1.5120493173599243,0.0003,0.6348205804824829,1.3421345949172974
9,0.5782855749130249,1.4607311487197876,0.0003,0.6382153034210205,1.3217897415161133
0,0.11038568615913391,2.679047107696533,0.0003,0.16391852498054504,2.271929979324341
1,0.12840043008327484,2.498711347579956,0.0003,0.16537342965602875,2.1909267902374268
2,0.15064683556556702,2.3649065494537354,0.0003,0.0931134819984436,3.0222692489624023
3,0.15620844066143036,2.326447010040283,0.0003,0.21387003362178802,2.151646614074707
4,0.17772941291332245,2.2856743335723877,0.0003,0.17992240190505981,2.179772138595581
0,0.18075202405452728,2.2872474193573,0.0003,0.23811833560466766,2.1266374588012695
1,0.20324023067951202,2.206210136413574,0.0003,0.21047526597976685,2.153317451477051
2,0.21218715608119965,2.191434383392334,0.0003,0.26188167929649353,2.184389591217041
3,0.22052955627441406,2.1691930294036865,0.0003,0.2759456932544708,2.0643346309661865
4,0.23104824125766754,2.1577229499816895,0.0003,0.30843842029571533,2.0093865394592285
5,0.24785394966602325,2.1141247749328613,0.0003,0.2953443229198456,2.0284976959228516
6,0.25958168506622314,2.0821526050567627,0.0003,0.3181377351284027,2.0444962978363037
7,0.2644178569316864,2.096520185470581,0.0003,0.3428710103034973,1.9640241861343384
8,0.2721557319164276,2.0940117835998535,0.0003,0.3491755723953247,1.972435474395752
9,0.29403942823410034,2.0409059524536133,0.0003,0.3399612009525299,1.9435420036315918
10,0.2397533506155014,2.150526285171509,0.0003,0.2594568431377411,2.0914101600646973
11,0.23092733323574066,2.1173593997955322,0.0003,0.33220174908638,1.9637154340744019
12,0.2782009541988373,2.046748399734497,3.0000001e-05,0.3419010639190674,1.9451310634613037
13,0.2883569002151489,1.9965816736221313,3.0000001e-05,0.35305529832839966,1.9246625900268555
14,0.2898077666759491,1.9835673570632935,3.0000001e-05,0.3612997233867645,1.9117015600204468
15,0.317253053188324,1.9572502374649048,3.0000001e-05,0.3758486807346344,1.8827760219573975
16,0.32777172327041626,1.9257844686508179,3.0000001e-05,0.38554802536964417,1.8706163167953491
17,0.3488090932369232,1.9122002124786377,3.0000001e-05,0.3962172567844391,1.850602626800537
18,0.35570064187049866,1.8839091062545776,3.0000001e-05,0.43064984679222107,1.8056093454360962
19,0.3696046471595764,1.8671711683273315,3.0000001e-05,0.43258970975875854,1.7857619524002075
20,0.3808487355709076,1.8448121547698975,3.0000001e-05,0.4301648736000061,1.7678405046463013
21,0.37915608286857605,1.8336682319641113,3.0000001e-05,0.45441320538520813,1.7364140748977661
22,0.40176519751548767,1.7959771156311035,3.0000001e-05,0.4670222997665405,1.7223114967346191
23,0.40442511439323425,1.7842851877212524,3.0000001e-05,0.4548981487751007,1.711621880531311
24,0.41216298937797546,1.7536134719848633,3.0000001e-05,0.4733268618583679,1.6891326904296875
25,0.432595819234848,1.7226306200027466,3.0000001e-05,0.4796314239501953,1.6748145818710327
26,0.43682748079299927,1.7181261777877808,3.0000001e-05,0.4733268618583679,1.6723917722702026
27,0.4359811246395111,1.7105047702789307,3.0000001e-05,0.5160039067268372,1.609494924545288
28,0.45593035221099854,1.6693576574325562,3.0000001e-05,0.5,1.6326794624328613
29,0.4579857289791107,1.6725597381591797,3.0000001e-05,0.5242483019828796,1.5761842727661133
30,0.4722524583339691,1.6346198320388794,3.0000001e-05,0.5286129713058472,1.578170895576477
31,0.4692298471927643,1.6215996742248535,3.0000001e-05,0.533462643623352,1.5571247339248657
32,0.4821666181087494,1.608937382698059,3.0000001e-05,0.5378273725509644,1.5400375127792358
33,0.4926852881908417,1.5966212749481201,3.0000001e-05,0.5368574261665344,1.5374459028244019
34,0.49873051047325134,1.5780130624771118,3.0000001e-05,0.5615906715393066,1.5088967084884644
35,0.5034458041191101,1.567510962486267,3.0000001e-05,0.562075674533844,1.4986591339111328
36,0.5142062902450562,1.5561152696609497,3.0000001e-05,0.5548011660575867,1.5082731246948242
37,0.51747065782547,1.5333954095840454,3.0000001e-05,0.5737148523330688,1.4630775451660156
38,0.5387498736381531,1.5103063583374023,3.0000001e-05,0.5853540301322937,1.4678670167922974
39,0.5391125679016113,1.5075559616088867,3.0000001e-05,0.5805043578147888,1.4562644958496094
40,0.5392334461212158,1.496283769607544,3.0000001e-05,0.5824442505836487,1.4447624683380127
41,0.5470922589302063,1.488147497177124,3.0000001e-05,0.5940834283828735,1.4459036588668823
42,0.5547091960906982,1.4646204710006714,3.0000001e-05,0.5935984253883362,1.4163099527359009
43,0.5577318072319031,1.4570417404174805,3.0000001e-05,0.6105722784996033,1.398789644241333
44,0.56329345703125,1.4538185596466064,3.0000001e-05,0.6047526597976685,1.395686388015747
45,0.5678877830505371,1.4438740015029907,3.0000001e-05,0.6173617839813232,1.3759170770645142
46,0.581066370010376,1.4069749116897583,3.0000001e-05,0.6294859647750854,1.3604011535644531
47,0.589650571346283,1.4036681652069092,3.0000001e-05,0.6168768405914307,1.363538146018982
48,0.5972675681114197,1.3836044073104858,3.0000001e-05,0.6440349221229553,1.3327698707580566
49,0.6042799949645996,1.3831895589828491,3.0000001e-05,0.6571289896965027,1.3250855207443237
50,0.6058517694473267,1.362570881843567,3.0000001e-05,0.6479146480560303,1.324680209159851
51,0.6060935854911804,1.360417366027832,3.0000001e-05,0.6556740999221802,1.3148927688598633
52,0.6262845993041992,1.3388959169387817,3.0000001e-05,0.6498544812202454,1.3104099035263062
53,0.6317253112792969,1.3100624084472656,3e-06,0.6716780066490173,1.2814093828201294
54,0.6328134536743164,1.3032920360565186,3e-06,0.6745877861976624,1.261033535003662
55,0.6404303908348083,1.2918806076049805,3e-06,0.6707080602645874,1.2775661945343018
56,0.6410349607467651,1.2870529890060425,3e-06,0.692046582698822,1.253974199295044
57,0.6501027941703796,1.2799655199050903,3e-06,0.6862269639968872,1.2394698858261108
58,0.6478055715560913,1.28018319606781,3e-06,0.6755577325820923,1.2453100681304932
59,0.6533671617507935,1.269955039024353,3e-06,0.6687681674957275,1.2578336000442505
60,0.6562688946723938,1.2729765176773071,1e-06,0.6925315260887146,1.2420403957366943
61,0.6546971201896667,1.2692030668258667,1e-06,0.6770126223564148,1.2514711618423462
62,0.6486518979072571,1.2739540338516235,1e-06,0.6828321814537048,1.2466574907302856
63,0.646838366985321,1.2739163637161255,1e-06,0.6789524555206299,1.244859218597412
