epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,1.6589791774749756,1e-04,0.9830887317657471,1.2755391597747803,0.7532435655593872,0.6048128604888916,0.8501569032669067
1,1.060236930847168,1e-04,0.7868643999099731,1.0246511697769165,0.13814841210842133,0.2420424222946167,0.3281373381614685
2,0.8407146334648132,1e-04,0.698451578617096,0.9145532846450806,0.12761248648166656,0.21534594893455505,0.31169459223747253
3,0.7014272212982178,1e-04,0.6338329315185547,0.8364661335945129,0.15147830545902252,0.2781262993812561,0.3479057252407074
4,0.5998575687408447,1e-04,0.5915646553039551,0.7806589603424072,0.11028461903333664,0.21113760769367218,0.282613605260849
5,0.49858328700065613,1e-04,0.5314164161682129,0.7110509872436523,0.10034319758415222,0.17283214628696442,0.2644987106323242
6,0.4345356225967407,1e-04,0.49085602164268494,0.6600944399833679,0.10034196823835373,0.15893590450286865,0.2645637094974518
7,0.37745872139930725,1e-04,0.45370399951934814,0.6185944676399231,0.10091035068035126,0.1752094179391861,0.26572588086128235
8,0.33184272050857544,1e-04,0.4207611680030823,0.5832915306091309,0.09591715037822723,0.1568060964345932,0.2562686800956726
9,0.282353013753891,1e-04,0.3842517137527466,0.5377768278121948,0.09428072720766068,0.1656602919101715,0.2531867027282715
10,0.25063300132751465,1e-04,0.34916725754737854,0.5015668272972107,0.09377196431159973,0.1595078408718109,0.25233957171440125
11,0.22608569264411926,1e-04,0.32521000504493713,0.47371789813041687,0.09226180613040924,0.1410720944404602,0.24946485459804535
12,0.19956353306770325,1e-04,0.3009684681892395,0.4449344873428345,0.09092496335506439,0.14374983310699463,0.24699607491493225
13,0.17924855649471283,1e-04,0.27639567852020264,0.4196024537086487,0.09410494565963745,0.13587920367717743,0.25359487533569336
14,0.16063326597213745,1e-04,0.25425148010253906,0.3905951678752899,0.08948934078216553,0.13309715688228607,0.2446354627609253
