epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.23146222531795502,2.3884778022766113,1e-04,0.3115023374557495,0.10217910259962082,0.08425925672054291,3.176143169403076,0.15072202682495117,0.051543209701776505
1,0.3524293601512909,1.9896385669708252,1e-04,0.4595896601676941,0.19835220277309418,0.4246913492679596,2.1974480152130127,0.5093749761581421,0.3018518388271332
2,0.42850542068481445,1.7382726669311523,1e-04,0.5561841726303101,0.2725032866001129,0.44012346863746643,2.2260727882385254,0.5193662047386169,0.3641975224018097
3,0.4907985031604767,1.5920186042785645,1e-04,0.6074311137199402,0.3361053466796875,0.529321014881134,2.4405481815338135,0.550561785697937,0.46882715821266174
4,0.5428505539894104,1.4741898775100708,1e-04,0.6656653881072998,0.3924694061279297,0.4185185134410858,2.513429641723633,0.46863189339637756,0.3827160596847534
5,0.5698005557060242,1.3846458196640015,1e-04,0.6911284327507019,0.4235004186630249,0.48456791043281555,3.069061040878296,0.5144032835960388,0.46296295523643494
6,0.6010625958442688,1.3030513525009155,1e-04,0.7121661901473999,0.46200045943260193,0.40432098507881165,2.5488088130950928,0.4285714328289032,0.36666667461395264
7,0.6354816555976868,1.1911287307739258,5e-05,0.7439721822738647,0.5108184814453125,0.5354938507080078,2.4928226470947266,0.5552287697792053,0.5243827104568481
8,0.6678216457366943,1.1415327787399292,5e-05,0.763363778591156,0.5410025119781494,0.500617265701294,2.962207317352295,0.5097600221633911,0.49166667461395264
9,0.6646646857261658,1.1273481845855713,5e-05,0.7623867988586426,0.5509355664253235,0.5175926089286804,2.5810904502868652,0.5259448885917664,0.5067901015281677
10,0.6799876689910889,1.0821144580841064,5e-05,0.7756025791168213,0.5674135684967041,0.5555555820465088,2.3793981075286865,0.5711008906364441,0.5379629731178284
11,0.6919996738433838,1.0572526454925537,5e-05,0.7818257808685303,0.5750365853309631,0.5549382567405701,2.325824737548828,0.5665804743766785,0.5410493612289429
