epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.35735735297203064,2.34078049659729,1e-04,0.44510912895202637,0.21198120713233948,0.06666667014360428,44.4721565246582,0.06666667014360428,0.06666667014360428
1,0.4833294749259949,1.8738771677017212,1e-04,0.605804979801178,0.3262493312358856,0.2953703701496124,22.930419921875,0.2952706813812256,0.29290124773979187
2,0.5634865760803223,1.6644383668899536,1e-04,0.6856589317321777,0.40863940119743347,0.36265432834625244,18.213289260864258,0.3678707182407379,0.3583333194255829
3,0.6210055947303772,1.5320082902908325,1e-04,0.7436797022819519,0.4733964800834656,0.3067901134490967,15.546454429626465,0.3141578733921051,0.3033950626850128
4,0.6635096669197083,1.4180043935775757,1e-04,0.781360387802124,0.5280665159225464,0.25246912240982056,15.948835372924805,0.2588273286819458,0.24660493433475494
5,0.7147917151451111,1.312078595161438,1e-04,0.8174776434898376,0.5769615769386292,0.19290123879909515,34.70768356323242,0.19403931498527527,0.18888889253139496
6,0.7557557821273804,1.2131905555725098,5e-05,0.8504769802093506,0.6315546035766602,0.2530864179134369,29.31123161315918,0.25519004464149475,0.24660493433475494
7,0.7843227982521057,1.1577658653259277,5e-05,0.8752644658088684,0.668899655342102,0.27654320001602173,29.268516540527344,0.27965283393859863,0.26851850748062134
8,0.8002617955207825,1.1284583806991577,5e-05,0.8851384520530701,0.6966196894645691,0.24351851642131805,27.298912048339844,0.24872611463069916,0.2410493791103363
9,0.8251328468322754,1.0709152221679688,2.5e-05,0.8970686793327332,0.723415732383728,0.22993826866149902,26.824338912963867,0.23417924344539642,0.22499999403953552
10,0.8419958353042603,1.0354163646697998,2.5e-05,0.9101006984710693,0.7444367408752441,0.23549382388591766,26.380056381225586,0.24071702361106873,0.2320987582206726
11,0.8462308645248413,1.0253546237945557,2.5e-05,0.9130879640579224,0.7563717365264893,0.23796296119689941,25.62132453918457,0.2423657923936844,0.23271605372428894
0,0.3488873541355133,2.374868392944336,1e-04,0.42914459109306335,0.2058982104063034,0.07222222536802292,35.21430206298828,0.07218091934919357,0.07191357761621475
1,0.47955647110939026,1.9139446020126343,1e-04,0.6011742949485779,0.3232463300228119,0.3095678985118866,19.524303436279297,0.31664541363716125,0.3064814805984497
2,0.5450065732002258,1.7225368022918701,1e-04,0.6715770363807678,0.39316239953041077,0.395061731338501,10.436335563659668,0.40957096219062805,0.3830246925354004
3,0.613844633102417,1.5606951713562012,1e-04,0.7336307764053345,0.46846845746040344,0.3827160596847534,12.535577774047852,0.39459988474845886,0.37438270449638367
0,0.3604373633861542,2.3284943103790283,1e-04,0.44875776767730713,0.22253021597862244,0.3354938328266144,14.366836547851562,0.33624181151390076,0.33302468061447144
1,0.48055747151374817,1.8854515552520752,1e-04,0.6016421318054199,0.32725033164024353,0.3916666805744171,15.081710815429688,0.4000638425350189,0.3867284059524536
2,0.5557865500450134,1.6838524341583252,1e-04,0.684251070022583,0.41048741340637207,0.34876543283462524,14.112226486206055,0.3508661389350891,0.34382715821266174
3,0.6062986254692078,1.5487070083618164,1e-04,0.7302219271659851,0.4662354588508606,0.28302469849586487,18.418792724609375,0.2847682237625122,0.2787036895751953
0,0.3534303605556488,2.3872101306915283,1e-04,0.44900187849998474,0.22168321907520294,0.1746913641691208,11.38659954071045,0.1778140366077423,0.16820988059043884
1,0.46746745705604553,1.9221429824829102,1e-04,0.5935078263282776,0.3125433027744293,0.30771604180336,11.21643352508545,0.31304070353507996,0.3015432059764862
2,0.5390005111694336,1.7251496315002441,1e-04,0.6637426614761353,0.3845383822917938,0.30216050148010254,12.219504356384277,0.3118489682674408,0.2956790030002594
3,0.5925155878067017,1.5839496850967407,1e-04,0.7197007536888123,0.4444444477558136,0.3728395104408264,8.177083015441895,0.38680508732795715,0.35648149251937866
4,0.6457996368408203,1.4502578973770142,1e-04,0.7643605470657349,0.5112805366516113,0.3641975224018097,10.1250638961792,0.37754082679748535,0.34969136118888855
5,0.6879956722259521,1.3544161319732666,1e-04,0.7985132336616516,0.5541695356369019,0.4645061790943146,5.935423851013184,0.484798401594162,0.45277777314186096
6,0.7280357480049133,1.2705626487731934,1e-04,0.8349514603614807,0.6026026010513306,0.4503086507320404,6.255520820617676,0.47165992856025696,0.4314814805984497
7,0.7657657861709595,1.1854045391082764,1e-04,0.8598824739456177,0.6421806216239929,0.5324074029922485,5.781813144683838,0.5450699925422668,0.5169752836227417
8,0.793793797492981,1.1409566402435303,1e-04,0.8768565058708191,0.6864556670188904,0.4089506268501282,13.285794258117676,0.4181465804576874,0.3996913433074951
9,0.8188188076019287,1.0894149541854858,1e-04,0.8941301703453064,0.7107877135276794,0.1854938268661499,38.58544158935547,0.1873401552438736,0.18086419999599457
10,0.841148853302002,1.0471007823944092,1e-04,0.91092848777771,0.7425887584686279,0.12345679104328156,40.439205169677734,0.12225015461444855,0.1200617253780365
11,0.8794949054718018,0.9748311042785645,5e-05,0.9365947246551514,0.7916377782821655,0.09567901492118835,57.9199104309082,0.0957413762807846,0.09506172686815262
0,0.3569723665714264,2.087258815765381,1e-04,0.46467816829681396,0.20512820780277252,0.07191357761621475,22.60002326965332,0.0721585601568222,0.07191357761621475
1,0.5125895142555237,1.5434225797653198,1e-04,0.6330413222312927,0.3561253547668457,0.4475308656692505,3.9424476623535156,0.4951569139957428,0.39444443583488464
2,0.6092246174812317,1.3001073598861694,1e-04,0.7323706150054932,0.46862247586250305,0.4722222089767456,3.2190184593200684,0.5255703926086426,0.41234567761421204
3,0.6836066842079163,1.0967704057693481,1e-04,0.7960352301597595,0.5565565824508667,0.4453703761100769,3.418354034423828,0.4965331256389618,0.3978395164012909
4,0.7462077736854553,0.9522010087966919,1e-04,0.8410916328430176,0.6288596391677856,0.5160493850708008,2.5784263610839844,0.5761614441871643,0.46697530150413513
5,0.7895587682723999,0.8629891276359558,1e-04,0.8777701258659363,0.6862246990203857,0.4978395104408264,2.5488829612731934,0.5513513684272766,0.4407407343387604
6,0.82536381483078,0.7885990738868713,1e-04,0.89534991979599,0.7279587388038635,0.5780864357948303,2.1902692317962646,0.6245907545089722,0.529938280582428
7,0.8532378673553467,0.73311847448349,1e-04,0.9156440496444702,0.775621771812439,0.5762345790863037,2.4410500526428223,0.6140412092208862,0.5425925850868225
8,0.8781088590621948,0.6897998452186584,1e-04,0.9291964769363403,0.8094248175621033,0.5626543164253235,2.5145187377929688,0.604659378528595,0.5287036895751953
9,0.8974359035491943,0.6508247256278992,1e-04,0.9416558146476746,0.836374819278717,0.5759259462356567,2.4011075496673584,0.6236481666564941,0.5339506268501282
10,0.9203819036483765,0.6058484315872192,5e-05,0.9560449123382568,0.8725648522377014,0.5845679044723511,2.162954330444336,0.6391143798828125,0.5345678925514221
11,0.9312389492988586,0.5882872343063354,5e-05,0.9610216021537781,0.8865788578987122,0.6141975522041321,1.8888744115829468,0.669684886932373,0.5706790089607239
12,0.9347809553146362,0.5752918720245361,5e-05,0.9637010097503662,0.8974359035491943,0.6336419582366943,2.044895887374878,0.686203122138977,0.5817901492118835
13,0.9420189261436462,0.5657168030738831,5e-05,0.9682735800743103,0.9047508835792542,0.50956791639328,4.530125141143799,0.5449037551879883,0.47191357612609863
14,0.9501039385795593,0.5498007535934448,5e-05,0.9709316492080688,0.9156079292297363,0.5580247044563293,4.038651466369629,0.595449686050415,0.5169752836227417
15,0.9532609581947327,0.5438629984855652,5e-05,0.9740619659423828,0.9195349216461182,0.5783950686454773,3.1559336185455322,0.6240337491035461,0.5481481552124023
16,0.962192952632904,0.52582848072052,2.5e-05,0.9798673987388611,0.9331639409065247,0.6083333492279053,3.490380048751831,0.6413310170173645,0.565123438835144
17,0.9664279818534851,0.5188788771629333,2.5e-05,0.9808942675590515,0.9408639669418335,0.6216049194335938,3.5242462158203125,0.6532871723175049,0.5827160477638245
18,0.9652729630470276,0.5153446197509766,2.5e-05,0.9806254506111145,0.9392469525337219,0.6373456716537476,2.551621913909912,0.677385151386261,0.5916666388511658
19,0.9680449962615967,0.5084642767906189,2.5e-05,0.981493353843689,0.9433279633522034,0.6435185074806213,2.4980454444885254,0.6782823204994202,0.594753086566925
20,0.9715869426727295,0.5050464868545532,2.5e-05,0.9846881628036499,0.9457919597625732,0.6870370507240295,2.1319520473480225,0.7284558415412903,0.6391975283622742
21,0.9721259474754333,0.5015596151351929,2.5e-05,0.9863276481628418,0.9498729705810547,0.6753086447715759,1.855857253074646,0.7187943458557129,0.625617265701294
22,0.9745129942893982,0.4955829381942749,2.5e-05,0.9863079190254211,0.9540309309959412,0.6719135642051697,1.935135006904602,0.71257483959198,0.624382734298706
23,0.976514995098114,0.49248000979423523,2.5e-05,0.9868254065513611,0.9574189782142639,0.6820987462997437,1.843161702156067,0.7223204970359802,0.6302469372749329
24,0.9785169959068298,0.4876713454723358,1.25e-05,0.9889717698097229,0.959805965423584,0.710493803024292,1.610031008720398,0.7545774579048157,0.6614197492599487
25,0.9792099595069885,0.4828506112098694,1.25e-05,0.9890537261962891,0.9601139426231384,0.690432071685791,1.6383297443389893,0.7358623147010803,0.6466049551963806
